halt_punkt_id;halt_punkt_diva;halt_id;GPS_Latitude;GPS_Longitude;GPS_Bearing;halt_punkt_ist_aktiv
5981;10;2622;47,390119;8,532583;145;FALSE
5985;50;2624;47,378722;8,575508;220;FALSE
5987;50;2625;47,334811;8,541704;135;TRUE
5989;20;2626;47,385934;8,496075;207;TRUE
5992;51;2627;47,369797;8,509789;81;FALSE
5995;51;2628;47,340558;8,572484;309;FALSE
5998;10;2629;47,397539;8,509645;116;TRUE
6000;1;2630;47,390246;8,510479;302;FALSE
6004;50;2631;47,375784;8,631367;120;TRUE
6006;11;2632;47,355218;8,526903;357;FALSE
6009;1;2633;47,356912;8,514084;18;TRUE
6011;21;2634;47,423808;8,520843;86;TRUE
6013;1;2635;47,396386;8,512735;270;FALSE
6015;20;2636;47,416783;8,522754;216;FALSE
6017;10;2637;47,367242;8,564711;336;TRUE
6019;10;2638;47,35918;8,557498;29;FALSE
6023;20;2639;47,370083;8,563897;240;FALSE
6026;1;2640;47,37837;8,494084;234;FALSE
6028;1;2641;47,372949;8,547471;335;FALSE
6032;50;2642;47,314536;8,58951;151;TRUE
6034;81;2643;47,359716;8,535401;168;FALSE
6042;1;2645;47,393863;8,508392;271;FALSE
6044;10;2646;47,373629;8,513693;146;TRUE
6046;21;2647;47,406439;8,495554;;FALSE
6048;20;2648;47,409478;8,496714;216;FALSE
6049;51;2649;47,319596;8,584593;354;FALSE
6051;11;2650;47,379568;8,527877;306;FALSE
6055;1;2651;47,353376;8,558699;330;TRUE
6061;50;2654;47,389137;8,596459;179;TRUE
6063;10;2655;47,345683;8,527847;147;TRUE
6064;11;2656;47,380881;8,556059;123;TRUE
6065;1;2657;47,372425;8,534577;317;FALSE
6071;20;2658;47,326569;8,51428;110;FALSE
6073;50;2659;47,336421;8,575136;125;FALSE
6075;10;2660;47,364462;8,507908;220;TRUE
6079;10;2662;47,362177;8,505069;143;FALSE
6081;50;2663;47,31823;8,581693;77;TRUE
6085;10;2665;47,35011;8,527726;170;TRUE
6087;23;2666;47,408628;8,507973;23;TRUE
6092;20;2667;47,430024;8,540879;327;FALSE
6095;50;2669;47,342968;8,569809;146;TRUE
6097;51;2670;47,319108;8,58023;330;TRUE
6099;0;2671;47,402666;8,492101;110;TRUE
6102;20;2672;47,403553;8,530461;176;FALSE
6104;11;2673;47,388311;8,536361;11;FALSE
6107;50;2674;47,338532;8,538261;165;FALSE
6109;50;2675;47,312236;8,550787;171;TRUE
6110;51;2676;47,394145;8,61102;310;FALSE
6362;20;2677;47,362826;8,511688;249;TRUE
6363;20;2678;47,335586;8,51867;139;TRUE
6369;80;2680;47,355373;8,556809;327;FALSE
6374;50;2681;47,326659;8,656451;150;TRUE
6376;20;2682;47,422019;8,538831;189;FALSE
6380;20;2683;47,404298;8,533285;89;FALSE
6385;20;2687;47,379242;8,483242;184;TRUE
6389;0;2689;47,360429;8,55207;149;FALSE
6396;10;2693;47,392674;8,532543;317;FALSE
6398;20;2694;47,416772;8,566287;247;TRUE
6400;21;2695;47,403349;8,486205;326;TRUE
6402;50;2696;47,33757;8,56988;153;TRUE
6404;51;2698;47,383507;8,58741;72;TRUE
6406;20;2699;47,381479;8,571368;145;TRUE
6412;11;2700;47,361644;8,526505;350;TRUE
6413;0;2701;47,379185;8,559414;221;FALSE
6419;10;2702;47,407217;8,530893;147;TRUE
6425;1;2705;47,392316;8,517011;297;FALSE
6431;20;2707;47,419996;8,535065;252;FALSE
6435;20;2709;47,348652;8,57079;163;TRUE
6437;20;2710;47,399998;8,494698;115;TRUE
6439;21;2711;47,403558;8,486991;113;TRUE
6442;81;2712;47,392644;8,523323;296;FALSE
6451;1;2713;47,375702;8,487781;254;TRUE
6455;80;2714;47,353247;8,511575;58;FALSE
6465;50;2715;47,382088;8,598796;225;FALSE
6467;21;2716;47,413594;8,518475;39;TRUE
6470;20;2718;47,371942;8,487773;129;TRUE
6476;50;2720;47,30581;8,552901;180;TRUE
6478;10;2721;47,356972;8,598064;147;FALSE
6483;10;2722;47,367609;8,510937;191;TRUE
6485;50;2723;47,391578;8,614844;131;TRUE
6495;51;2729;47,405944;8,58156;249;FALSE
6499;10;2730;47,389783;8,492363;116;TRUE
6501;1;2731;47,402168;8,49641;271;FALSE
6503;50;2732;47,316771;8,585551;148;TRUE
6505;51;2733;47,31148;8,5875;82;TRUE
6506;20;2734;47,397758;8,529388;94;TRUE
6508;50;2735;47,380424;8,577994;210;TRUE
6512;50;2737;47,332172;8,542986;314;TRUE
6514;81;2738;47,371276;8,516109;146;FALSE
6522;21;2740;47,392103;8,502184;247;FALSE
6527;81;2742;47,35736;8,550351;98;FALSE
6529;20;2743;47,416625;8,535738;79;TRUE
6531;20;2744;47,425473;8,509146;208;TRUE
6533;21;2745;47,340876;8,525367;103;TRUE
6535;50;2746;47,329588;8,580216;153;TRUE
6537;50;2747;47,334894;8,577578;140;TRUE
6539;10;2748;47,383538;8,549228;302;FALSE
6541;10;2749;47,394363;8,525199;200;TRUE
6545;81;2750;47,393711;8,512098;288;FALSE
6551;13;2752;47,391321;8,535813;90;TRUE
6556;51;2754;47,313349;8,588638;332;TRUE
6557;51;2755;47,326043;8,593913;179;TRUE
6559;21;2756;47,386308;8,517975;210;TRUE
6564;50;2757;47,313555;8,585045;152;TRUE
6565;10;2758;47,388207;8,53412;172;FALSE
6567;50;2760;47,329184;8,543188;152;TRUE
6569;22;2761;47,416183;8,531992;80;TRUE
6572;51;2762;47,329201;8,547039;338;TRUE
6575;20;2763;47,414112;8,537992;185;TRUE
6577;21;2764;47,365349;8,526607;24;FALSE
6579;20;2765;47,351934;8,56628;144;TRUE
6581;1;2766;47,376932;8,554281;103;TRUE
6583;50;2767;47,38473;8,599979;181;TRUE
6585;80;2768;47,374144;8,542994;16;FALSE
6588;20;2769;47,381556;8,491922;206;TRUE
6590;83;2770;47,387045;8,489713;287;FALSE
6597;20;2771;47,350519;8,569387;143;TRUE
6599;50;2772;47,398025;8,482073;17;FALSE
6602;20;2773;47,428963;8,536986;209;FALSE
6604;1;2774;47,372229;8,542888;355;FALSE
6606;20;2775;47,379714;8,494601;131;TRUE
